web-scraper-order,web-scraper-start-url,single,single_href,title,price,rating,image_src
1717694461-1,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy A35 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",https://www.amazon.in/Samsung-Awesome-Iceblue-Storage-Nightography/dp/B0CWPDYS2C/ref=sr_1_18?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-18,"Samsung Galaxy A35 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) ","30,999",3.5,https://m.media-amazon.com/images/I/71MBDTglV4L._SX679_.jpg
1717694467-2,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy M14 4G (Arctic Blue,6GB,128GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 12GB RAM with RAM Plus | Without Charger",https://www.amazon.in/Samsung-5000mAh-Snapdragon-Processor-Security/dp/B0CV7PT9PR/ref=sr_1_17?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-17,"Samsung Galaxy M14 4G (Arctic Blue,6GB,128GB) ","11,999",3.5,https://m.media-amazon.com/images/I/81juPhKSZJL._SX679_.jpg
1717694474-3,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy A15 5G (Blue Black, 6GB, 128GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 12GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery",https://www.amazon.in/Samsung-Storage-Expandable-MediaTek-Dimensity/dp/B0CP7VP1VV/ref=sr_1_16?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-16,"Samsung Galaxy A15 5G (Blue Black, 6GB, 128GB Storage)","17,999",3.8,https://m.media-amazon.com/images/I/71QZyo8ekbL._SX679_.jpg
1717694481-4,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSNTT4/ref=sr_1_15?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-15,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)","12,490",4,https://m.media-amazon.com/images/I/81pmO0iVNhL._SX679_.jpg
1717694487-5,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy A14 5G (Dark Red, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger",https://www.amazon.in/Samsung-Galaxy-Storage-Without-Charger/dp/B0BS16FS5K/ref=sr_1_14?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-14,"Samsung Galaxy A14 5G (Dark Red, 6GB, 128GB Storage) ","15,999",4,https://m.media-amazon.com/images/I/81QW4IDVidL._SX679_.jpg
1717694494-6,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 128GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger",https://www.amazon.in/Samsung-Awesome-Storage-Gorilla-Without/dp/B0BXD44TJW/ref=sr_1_13?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-13,"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 128GB Storage) ","22,999",4.2,https://m.media-amazon.com/images/I/712f4xV-Z3L._SX679_.jpg
1717694501-7,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy M34 5G (Prism Silver,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger",https://www.amazon.in/Samsung-sAMOLED-Display-Battery-Security/dp/B0C7C1JGQL/ref=sr_1_10?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-10,"Samsung Galaxy M34 5G (Prism Silver,8GB,128GB)","14,999",4,https://m.media-amazon.com/images/I/91ItZJh1FDL._SX679_.jpg
1717694507-8,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy M15 5G (Celestial Blue,6GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery|MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update|Super AMOLED Display|Without Charger",https://www.amazon.in/Samsung-Celestial-MediaTek-Dimensity-Security/dp/B0CYQ2N8JR/ref=sr_1_9?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-9,"Samsung Galaxy M15 5G (Celestial Blue,6GB RAM,128GB Storage)","14,499",3.6,https://m.media-amazon.com/images/I/81HaKFx7EGL._SX679_.jpg
1717694514-9,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)",https://www.amazon.in/Samsung-Galaxy-F54-Stardust-Silver/dp/B0CB97SJ6Y/ref=sr_1_8?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-8,"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)","22,947",3.8,https://m.media-amazon.com/images/I/81cjnxL6jbL._SX679_.jpg
1717694520-10,https://www.amazon.in/s?k=samsung&crid=1VFN3F2DZM89H&sprefix=samsung%2Caps%2C220&ref=nb_sb_noss_2,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSSNV7/ref=sr_1_7?crid=1VFN3F2DZM89H&dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYDMzPsTPNLEsHYmIOvv2Tg4ELaGzb9-g9pbHgsHFyRo2qNDR3WXW5fLk6pr_9-DLIUxRdIIG0iIDeYHm2p-_zRX8hW8PMF26J5_ht7lLUWSh60Sk-Wu2SGIJoWoY0wtrE-cVf10ECUeg7Is7gf6dT_hZNSJGRKztlnMzQ4-9N-iJxcYjluJx2QQGiXaqGmgCqOEBi_Yo1fEGKzLdMgZzjkM.QD8qECJCCV2BYR5qmzB-oX_1o72909GcinVWdQA2qhs&dib_tag=se&keywords=samsung&qid=1717694444&sprefix=samsung%2Caps%2C220&sr=8-7,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)","12,490",4,https://m.media-amazon.com/images/I/818VqDSKpCL._SX679_.jpg
