web-scraper-order,web-scraper-start-url,single,single_href,title,price,rating,image_src
1717770820-1,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy M55 5G (8GB RAM, 128GB, Denim Black)",https://www.croma.com/samsung-galaxy-m55-5g-8gb-ram-128gb-denim-black-/p/306021,"SAMSUNG Galaxy M55 5G (8GB RAM, 128GB, Denim Black)","24,999.00",,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1713353365/Croma%20Assets/Communication/Mobiles/Images/306021_0_z3nfh1.png
1717770823-2,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy A34 5G (8GB RAM, 256GB, Awesome Graphite)",https://www.croma.com/samsung-galaxy-a34-5g-8gb-ram-256gb-awesome-graphite-/p/270486,"SAMSUNG Galaxy A34 5G (8GB RAM, 256GB, Awesome Graphite)","26,499.00",1,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708678183/Croma%20Assets/Communication/Mobiles/Images/270486_0_clsyyc.png
1717770826-3,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy S24 5G (8GB RAM, 256GB, Marble Gray)",https://www.croma.com/samsung-galaxy-s24-5g-8gb-ram-256gb-marble-gray-/p/303839,"SAMSUNG Galaxy S24 5G (8GB RAM, 256GB, Marble Gray)","79,999.00",,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1705575390/Croma%20Assets/Communication/Mobiles/Images/303839_rrhtai.png
1717770828-4,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy A34 5G (8GB RAM, 256GB, Awesome Lime)",https://www.croma.com/samsung-galaxy-a34-5g-8gb-ram-256gb-awesome-lime-/p/270484,"SAMSUNG Galaxy A34 5G (8GB RAM, 256GB, Awesome Lime)","26,499.00",5,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708678242/Croma%20Assets/Communication/Mobiles/Images/270484_0_f3yuca.png
1717770831-5,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy S24 Ultra 5G (12GB RAM, 256GB, Titanium Black)",https://www.croma.com/samsung-galaxy-s24-ultra-5g-12gb-ram-256gb-titanium-black-/p/303840,"SAMSUNG Galaxy S24 Ultra 5G (12GB RAM, 256GB, Titanium Black)","129,999.00",,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1705634974/Croma%20Assets/Communication/Mobiles/Images/303840_rlonbq.png
1717770835-6,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy S24 5G (8GB RAM, 128GB, Amber Yellow)",https://www.croma.com/samsung-galaxy-s24-5g-8gb-ram-128gb-amber-yellow-/p/303836,"SAMSUNG Galaxy S24 5G (8GB RAM, 128GB, Amber Yellow)","74,999.00",,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1705580298/Croma%20Assets/Communication/Mobiles/Images/303836_inhmke.png
1717770837-7,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy M14 (4GB RAM, 64GB, Arctic Blue)",https://www.croma.com/samsung-galaxy-m14-4gb-ram-64gb-arctic-blue-/p/305908,"SAMSUNG Galaxy M14 (4GB RAM, 64GB, Arctic Blue)","8,999.00",,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717061620/Croma%20Assets/Communication/Mobiles/Images/305908_0_vgkofp.png
1717770839-8,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy M14 (6GB RAM, 128GB, Sapphire Blue)",https://www.croma.com/samsung-galaxy-m14-6gb-ram-128gb-sapphire-blue-/p/305910,"SAMSUNG Galaxy M14 (6GB RAM, 128GB, Sapphire Blue)","11,999.00",,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1712751541/Croma%20Assets/Communication/Mobiles/Images/305910_0_f1tpcw.png
1717770841-9,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy A34 5G (8GB RAM, 128GB, Awesome Violet)",https://www.croma.com/samsung-galaxy-a34-5g-8gb-ram-128gb-awesome-violet-/p/270481,"SAMSUNG Galaxy A34 5G (8GB RAM, 128GB, Awesome Violet)","24,499.00",5,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708678396/Croma%20Assets/Communication/Mobiles/Images/270481_0_i7f3rh.png
1717770845-10,https://www.croma.com/searchB?q=samsung%20mobile%3Arelevance&text=samsung%20mobile,"SAMSUNG Galaxy M14 (4GB RAM, 64GB, Sapphire Blue)",https://www.croma.com/samsung-galaxy-m14-4gb-ram-64gb-sapphire-blue-/p/305907,"SAMSUNG Galaxy M14 (4GB RAM, 64GB, Sapphire Blue)","8,999.00",5,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717061549/Croma%20Assets/Communication/Mobiles/Images/305907_0_gnsffu.png
